Template,Variable,type
XE Interface MPLS-TE,interfaceName,str
XR Interface MPLS-TE,interfaceName,str
XR Interface RSVP,interfaceName,str
,percentValue,int
XE Interface RSVP,interfaceName,str
,percentValue,int
XR Global MPLS-TE,,
XE Global MPLS-TE,,
XR Global MPLS,Loopback0,ipv4 addr
XE Global MPLS,,
XE Interface OSPF,interfaceName,str
XR Interface OSPF,interfaceName,str
,Loopback0,ipv4 addr
XE Global OSPF,Loopback0,ipv4 addr
XR Interface Address,interfaceName,str
,ipAddress,ipv4 addr
XE Interface Address,interfaceName,str
,ipAddress,ipv4 addr
XR Interface CDP,interfaceName,str
XE Interface CDP,interfaceName,str
XR Loopback Address,Loopback0,ipv4 addr
XE Loopback Address,Loopback0,ipv4 addr
XR Global CDP,,
XE Global CDP,,
